,New Mexico,forecast,interval_low,interval_high
2020-01-23,0.0,,,
2020-01-24,0.0,0.021592022139335268,0.021592022139335268,0.021592022139335268
2020-01-25,0.0,0.03323225454685187,0.03323225454685187,0.03323225454685187
2020-01-26,0.0,0.04515453466135198,0.04515453466135198,0.04515453466135198
2020-01-27,0.0,0.05089544067446345,0.05089544067446345,0.05089544067446345
2020-01-28,0.0,0.06519123917672985,0.06519123917672985,0.06519123917672985
2020-01-29,0.0,0.07893397267708437,0.07893397267708437,0.07893397267708437
2020-01-30,0.0,0.0915539714418256,0.0915539714418256,0.0915539714418256
2020-01-31,0.0,0.10243473737506739,0.10243473737506739,0.10243473737506739
2020-02-01,0.0,0.11103728971272687,0.11103728971272687,0.11103728971272687
2020-02-02,0.0,0.11701989219394648,0.11701989219394648,0.11701989219394648
2020-02-03,0.0,0.12031106251355154,0.12031106251355154,0.12031106251355154
2020-02-04,0.0,0.12111027470232698,0.12111027470232698,0.12111027470232698
2020-02-05,0.0,0.11982288046633856,0.11982288046633856,0.11982288046633856
2020-02-06,0.0,0.11696153138576622,0.11696153138576622,0.11696153138576622
2020-02-07,0.0,0.11305107020793911,0.11305107020793911,0.11305107020793911
2020-02-08,0.0,0.10856067160169613,0.10856067160169613,0.10856067160169613
2020-02-09,0.0,0.10386919686141641,0.10386919686141641,0.10386919686141641
2020-02-10,0.0,0.09925754631053949,0.09925754631053949,0.09925754631053949
2020-02-11,0.0,0.09491760673778023,0.09491760673778023,0.09491760673778023
2020-02-12,0.0,0.09096855559218808,0.09096855559218808,0.09096855559218808
2020-02-13,0.0,0.08747439704226316,0.08747439704226316,0.08747439704226316
2020-02-14,0.0,0.08445955044794591,0.08445955044794591,0.08445955044794591
2020-02-15,0.0,0.08192133807976798,0.08192133807976798,0.08192133807976798
2020-02-16,0.0,0.07983934310640883,0.07983934310640883,0.07983934310640883
2020-02-17,0.0,0.07818210335572162,0.07818210335572162,0.07818210335572162
2020-02-18,0.0,0.07691174060236058,0.07691174060236058,0.07691174060236058
2020-02-19,0.0,0.07598708702197463,0.07598708702197463,0.07598708702197463
2020-02-20,0.0,0.07536576860014792,0.07536576860014792,0.07536576860014792
